proverb,meaning,used,index
de kogel door de kerk laten gaan,de beslissing nemen,,1092
is de paus katholiek?,een antwoord op een vraag waarvan het antwoord overduidelijk `Ja` is,,1093
zeeman geen man,zeemannen zijn heel vaak van huis en daarom minder als echtgenoot geschikt,,1094
zo vol als mut,eivol,,1095
aan iets blijven hangen,"ergens verstrikt in raken, ermee bezig blijven",,1096
aan banden leggen,de vrijheid beperken,,1097
Als het kalf verdronken is dempt men de put,Pas na een ramp wordt actie ondernomen,,1098
onder stoelen of banken steken,verbergen,,1099
in iemands kielzog varen,het net zo doen als iemands voorganger,,1100
een schip met zure appels zijn/komen,"iemand begint bijna met huilen, het naderen van een zware bui",,1101
geen oud wijf bleef aan het spinnewiel,iedereen kwam kijken,,1102
een oude rot in het vak (zijn),alles van het vak afweten en alles weten hoe te doen,,1103
met zijn talenten woekeren,de persoonlijke mogelijkheden/gaven goed gebruiken,,1104
zijn matten oprollen,"vertrekken, weggaan",,1105
gevulde heer,rond zandgebak,,1106
het been stijf houden,niet toegeven.,,1107
aan Bacchus offeren,te veel alcoholhoudende drank nuttigen,,1108
een ridder van de el,een kleermaker,,1109
"Wat goed eet, schijt goed.",Gezond eten laat het lichaam goed functioneren.,,1110
ergens zijn hoed voor afnemen,er voor in bewondering staan,,1111
de dampen aandoen,pesten,,1112
pia vota,vrome wensen,,1113
iemand gehoor geven,"naar iemand luisteren, gevolg geven aan zijn vraag",,1114
vechten dat de kraaien om de brokken komen,hevig vechten,,1115
in het zakje blazen,een ademtest ondergaan,,1116
als Ieren en Britten op één land,twee aartsvijanden in één ruimte,,1117
ex tempore,onvoorbereid,,1118
zich voor de kop schieten,inzien dat men een grote stommiteit gedaan heeft - zelfmoord plegen,,1119
een zware wissel trekken,erg veel eisen,,1120
door het lint gaan,door woede je emoties niet (meer) onder controle kunnen houden,,1121
Als ik ze niet hoef te hoeden laat ik de ganzen ganzen zijn,Ik bemoei me niet met andermans zaken als het niet hoeft,,1122
het zo druk hebben als een klein baasje,veel kleine karweitjes moeten doen,,1123
van je buik een afgod maken,erg veel geld uitgeven aan lekker eten en drinken,,1124
je zult ze maar de kost moeten geven,het zijn er veel (mensen),,1125
iemands eer te na komen,iemand beledigen - iemands naam aantasten,,1126
geen rooie cent waard,waardeloos,,1127
haast en spoed is zelden goed,"iets te snel doen, resulteert vaak in iets dat slecht gedaan is",,1128
weinig armslag hebben,"weinig ruimte hebben om uit te breiden of weinig mogelijkheden hebben, meestal in geld uitgedrukt",,1129
via de achterdeur,"indirect, onopgemerkt, stiekem",,1130
iemand de ogen verblinden,iemand door uiterlijke schijn misleiden,,1131
niet goed snik zijn,gek zijn (iemand),,1132
in rook opgaan,in het niets verdwijnen,,1133
woord houden,doen wat iemand beloofd heeft,,1134
ergens de deur platlopen,ergens vaak komen,,1135
een tik aanhebben,te veel gedronken hebben,,1136
zijn ziel en zaligheid verkopen,absoluut alles opofferen,,1137
iemand het volle pond geven,uitvoerig en duidelijk antwoorden,,1138
iemand op de hielen zitten,iemand bijna te pakken hebben,,1139
er is geen vuiltje aan de lucht,er is niets aan de hand,,1140
april doet wat hij wil,april geeft onvoorspelbaar weer,,1141
waar je u tegen zegt,wat absoluut de moeite waard is,,1142
met de neus in de boeken zitten,veel lezen,,1143
dat is makkelijker gezegd dan gedaan,het valt in de praktijk nog niet mee,,1144
wie veel eist krijgt veel. Wie te veel eist krijgt niets,"je kan door het te vragen veel bij mensen gedaan krijgen, maar als je onredelijk wordt zal je worden overgeslagen",,1145
de tijd vliet snel gebruik hem wel,"doe wat je moet doen, terwijl je nog kan",,1146
het uitzingen,"het einde ervan afwachten, het volhouden",,1147
op elkaar lijken als het ene ei op het andere,goed op elkaar lijken,,1148
iets te verhakstukken hebben,"nog iets met iemand te bespreken hebben, nog iets te doen hebben",,1149
zich het hoofd breken over iets,trachten een antwoord te vinden op een moeilijke vraag,,1150
dat is geen geld,dat is erg goedkoop als je ziet wat je ervoor krijgt,,1151
een veer op de hoed steken,een compliment geven/krijgen,,1152
de bal aan het rollen brengen,de aanzet geven,,1153
veni vidi vici,kwam-zag-overwon,,1154
in de lift zitten,de situatie waarin het zit wordt beter,,1155
volente deo,zo god het wil,,1156
de boter en de kaas te dik gesneden hebben,te veel verteerd hebben,,1157
jut en jul,een raar stelletje,,1158
een geheugen als een garnaal,een zeer slecht geheugen hebben,,1159
de drempel platlopen,steeds opnieuw bezoeken,,1160
hakken in het zand,koppig blijven,,1161
iemand of iets de baas zijn,iemand of iets kunnen overmeesteren,,1162
zijn handen van iemand aftrekken,iemand niet langer steunen,,1163
dit loopt uit de hand,dit is niet meer onder controle,,1164
gezelligheid kent geen tijd,"als het gezellig is, is het niet erg als het wat later wordt",,1165
de teerling is geworpen,De beslissing is genomen,,1166
uit de verf komen,goed bij anderen overkomen / zich doen opmerken,,1167
een dak boven zijn hoofd hebben,"woonruimte hebben, onderdak hebben",,1168
de laatste hand aan iets leggen,iets afmaken/voltooien,,1169
het oog is groter dan de maag.,meer op het bord scheppen dan er opgegeten kan worden,,1170
het land van belofte,de plaats waar het goed toeven is,,1171
de pen voeren,schrijven,,1172
zich niet laten kennen,net niet te vlug opgeven,,1173
in een haai en een draai,in een tel,,1174
zijn eigen naad naaien.,iets op zijn eigen manier uitvoeren; eigenwijs zijn.,,1175
hij heeft bot gegeten,hij is dom geboren en dat zal hij wel blijven ook,,1176
iemand in zijn kielwater zeilen,iemand op de hielen volgen,,1177
ongelukkig in het spel gelukkig in de liefde,wie tegenslag heeft in het spel heeft misschien wel geluk in de liefde,,1178
dat gaat erin als klokspijs,dat gaat er gemakkelijk in,,1179
het is een pleister op een houten been,het is een nutteloos voorstel,,1180
een hart van steen hebben,geen medelijden met anderen hebben,,1181
iemand met schele ogen aankijken,iemand afgunstig bekijken,,1182
roep geen mosselen voordat ze aan de wal zijn,verkoop de huid niet voordat de beer geschoten is,,1183
ter harte nemen,het zich aantrekken,,1184
nota bene,noteer wel,,1185
de kronkel in de darm hebben,hevige buikpijn (koliek) hebben,,1186
het beste paard struikelt (ook) wel eens.,ook de beste maakt wel eens een fout,,1187
benen maken,(haastig) weggaan,,1188
Abraham gezien hebben.,50 jaar of ouder zijn.,,1189
achterin de fuik zit de paling,je moet geduld hebben,,1190
moeten is dwang en huilen is kindergezang,"ik wil het wel doen, maar niet als het me verplicht wordt",,1191
gooi het maar in je pet,er komt niks van in,,1192
op zijn post blijven,niet weggaan,,1193
een Kampersteur,een domme streek,,1194
op twee oren slapen.,je mag gerust zijn,,1195
hij heeft een appeltje met hem te schillen,iets met iemand te bespreken hebben naar aanleiding van iets wat men die ander verwijt,,1196
achter slot en grendel,opgesloten,,1197
op de voorgrond staan,onder de aandacht staan,,1198
ruw laten stikken,aan zijn lot overlaten,,1199
het heft in eigen hand(en) nemen,de leiding nemen,,1200
op geen stukken na (halen),met grote achterstand iets niet halen,,1201
zo gesloten als een oester (mossel),hij zegt weinig en laat niets los,,1202
Bij kleine lapjes leert men de hond leer eten.,Geleidelijk aan wen je zelfs aan de onmogelijkste dingen.,,1203
een krent.,een gierig persoon.,,1204
in de fout gaan.,een onaanvaardbaar of strafbaar feit begaan.,,1205
daar heb ik geen hoge pet van op.,ik geloof niet dat hij/zij tot veel in staat is/zijn.,,1206
hij droomt van schol hij eet graag platvis,hij verwacht te veel,,1207
op salet zitten,mooi aangekleed zijn en niet werken,,1208
Uitlekken,als iets ongewenst publiekelijk bekend wordt ,,1209
alle springveren laten werken,alle middelen aanwenden,,1210
water naar zee dragen.,overbodig werk doen.,,1211
wat het zwaarst is moet het zwaarst wegen.,wat het belangrijkste is moet het eerste gebeuren,,1212
op de keien staan,werkloos zijn,,1213
de vruchten zullen de beloften der bloemen overtreffen,"het is nu al goed, maar het eindresultaat wordt nog veel beter",,1214
zo welkom als een hond in de keuken,absoluut niet welkom,,1215
die heeft een graat in z'n keel,hij is (spreekt) bekakt,,1216
testantibus actis,volgens de akten,,1217
als proefkonijn dienen,dienen voor een of ander experiment,,1218
onder de pannen zijn,de (geld)zaken goed voor elkaar hebben,,1219
zijn kop is zwaarder dan zijn benen,hij is dronken (of erg moe),,1220
met een metworst naar een zij spek gooien,iets weinig waardevols opofferen om iets waardevols terug te krijgen,,1221
veel geblaat/geschreeuw maar weinig wol,veel woorden hebben maar in de praktijk komt daar weinig van terecht,,1222
alle zeilen bijzetten,de uiterste best doen om iets toch te bereiken,,1223
vragen staat/is vrij,iedereen heeft de gelegenheid om vragen te stellen,,1224
in het wild lopen,ongeregeld verlopen,,1225
een groentje zijn,(ook: Groen als gras zijn. ) Ergens nog geen ervaring mee hebben,,1226
elke ketter heeft zijn letter,ieder denkt dat de eigen mening bewezen kan worden,,1227
weten waar Petrus de sleutel had,op de hoogte zijn van wat niet iedereen weet,,1228
ieder moet zijn eigen stoep schoonvegen,ieder moet zijn eigen problemen oplossen - zich afvragen of hij zelf schuldig is,,1229
daar heb je het gedonder in de glazen,daar begint de miserie,,1230
ieder dubbeltje drie keer omdraaien,zo gehecht zijn aan geld dat men aarzelt bij iedere uitgave,,1231
"Ik zoek het paard, maar ik zit erop. ",Iets zoeken waar je heel dichtbij bent,,1232
leven als een god in Frankrijk,een aangenaam en zorgeloos leven hebben,,1233
een mond als een hooischuur,een grote of erg brutale mond,,1234
aan elkaar knopen,gegevens samenvoegen,,1235
"wie bang leeft, gaat ook bang dood",je gaat zoals je geleefd hebt,,1236
de vis is de boet niet weerd,het sop is de kool niet waard,,1237
een Keulse reis doen,heel lang wegblijven,,1238
aan kant doen,opruimen,,1239
al voor heter vuren gestaan hebben,er erger meegemaakt hebben,,1240
geen hout snijden,"niets bewijzen , niet van toepassing zijn",,1241
de tol aan de natuur betalen,dood gaan,,1242
Ze staat in haar eigen licht,Ze is trots op zichzelf,,1243
mijl op zeven zijn,een grote omweg zijn,,1244
met de kippen op stok gaan,vroeg naar bed gaan,,1245
Ongelijke paarden trekken kwalijk. ,"Mensen die teveel verschillen in kwaliteiten, werken vaak niet goed samen",,1246
zijn hart luchten,iemand over de problemen vertellen die hij bij zich draagt,,1247
twee handen op een buik,"ze werken samen, ze denken er hetzelfde over",,1248
niet kunnen heksen,het niet zo snel afkunnen - er meer tijd voor nodig hebben,,1249
op zand bouwen,zich op niets baseren,,1250
schrijf het maar op je buik (dan kan je het met je hemd weer uitvegen),vergeet het maar,,1251
het op een akkoordje gooien.,met elkaar afspreken iets op een bepaalde manier aan te pakken.,,1252
de liefde kan niet van één kant komen,als je samen iets doet zal ieder moeten bijdragen,,1253
de verzenen tegen de prikkels slaan,zich verzetten tegen iets wat niet tegen te gaan is,,1254
iemand wel kunnen schieten,zich bijzonder ergeren aan iemand,,1255
tabula rasa maken,geheel herbeginnen - de boel helemaal opruimen,,1256
zijn weerga niet hebben,ongeëvenaard zijn,,1257
tuk op iets zijn,iets erg graag lusten of dol op zijn,,1258
gewag maken van,"verwijzen naar, melding maken van",,1259
de hakken in het zand zetten,"zich opstellen als felle tegenstander van een voorstel of ontwikkeling, zonder de bereidheid te zoeken naar positieve aspecten of naar compromissen",,1260
een lelijke pijp roken,zuur opbreken,,1261
in het ongelijk stellen,ongelijk geven,,1262
voor de boeg hebben,"nog voor zich hebben, te wachten staan",,1263
Zodra het hek van de dam is lopen de varkens in het koren,Een ramp komt voort uit roekeloosheid / Als er geen toezicht is springen kinderen of ondergeschikten uit de band,,1264
aan de schors blijven hangen,iemand of iets alleen op het uiterlijk beoordelen,,1265
iemand aan het touw hebben,over iemand de macht hebben,,1266
ergens verzeild raken,ergens onbedoeld terechtkomen,,1267
te veel pannen op het dak,te veel die het kunnen horen,,1268
botertje aan de boom zijn / het is botertje tot de boom,alles gaat goed zonder problemen,,1269
van huis en haard verdreven,dakloos zijn,,1270
Hij praat met een hete aardappel in de keel,Hij praat op een bekakte manier,,1271
nieuwe messen snijden scherp,met iets (iemand) nieuws is het aangenaam werken,,1272
Een stok in het wiel steken,Iets of iemand tegenwerken,,1273
er niet mee getrouwd zijn,"er niet aan vastzitten, er niet toe verplicht zijn",,1274
iets zeggen om de kool,iets zeggen voor de grap,,1275
over de balk gooien,onnodig geld uitgeven voor zaken die niet nodig zijn,,1276
plak en gard ontwassen zijn,ook zonder begeleiding wel kunnen leven,,1277
iets te berde brengen,een voorstel doen; iets ter sprake brengen,,1278
een krakende wagen,een onzekere zaak - iemand met een zwakke gezondheid,,1279
"al draagt een aap een gouden ring, het is en blijft een lelijk ding",wie zich mooi aankleedt wordt daarmee zelf nog niet mooi,,1280
vieze varkens worden niet vet,"wie overal vies van is, zal niet veel te eten krijgen",,1281
de kat in de gordijnen jagen,iemand goed kwaad maken,,1282
op de pianist schieten,de onschuldige (de brenger van het nieuws) straffen,,1283
vragen kost geen geld,"al heb je weinig kans, je kan het in elk geval maar vragen",,1284
door de wol geverfd zijn,"brutaal , schaamteloos zijn",,1285
een kind van laban,iemand met een blanke huid,,1286
met iemand zijn voeten spelen.,iemand voor de gek houden.,,1287
er nachtwerk van maken,laat opblijven,,1288
het geld brandt hem in de zak.,hij geeft zijn geld graag en gemakkelijk uit.,,1289
als David zijn volk telde verloor hij de strijd,tel de winst pas uit bij het einde van de strijd,,1290
de zwartepiet krijgen,de schuld krijgen,,1291
bang zijn zich aan koud water te branden,erg voorzichtig zijn,,1292
aan de pan blijven hangen/kleven,zich om bestwil ergens mee bemoeien maar er slecht afkomen,,1293
een zwarte kat krabt niet.,je moet je niet laten leiden door je angsten.,,1294
koffiedik kijken,trachten het onbekende te kennen (de toekomst),,1295
het zeil strijken,het opgeven / flauw vallen / van iemand verliezen,,1296
in troebel water is het goed vissen,in tijden van onlust of oorlog kan men gemakkelijk voordelen halen,,1297
op een kluitje,dicht bij elkaar,,1298
niet meer van vandaag,het is ouderwets of niet meer acceptabel,,1299
in de goot,in de zware problemen,,1300
als een blad van een bloom veranderen/omkeren,"geheel anders zijn, geheel anders gaan gedragen",,1301
een veer (moeten) laten,met minder genoegen moeten nemen,,1302
"haring in het land, dokter aan de kant",haring eten is zeer gezond; haring is zelfs één van de beste vissen voor je gezondheid,,1303
het liedje van verlangen zingen,proberen uit te stellen,,1304
het bijltje erbij neerleggen,ermee stoppen,,1305
voor het zingen de kerk uit,coïtus interruptus.,,1306
de gestadige jager wint,regelmatig doorzetten geeft het beste resultaat,,1307
het is vlees noch vis,"het is niet bruikbaar, omdat het niet duidelijk is",,1308
iets zwart op wit hebben,het op papier hebben staan,,1309
met iemand te diep in zee gaan,iemand al te ver vertrouwen,,1310
De groten rijden te paard en de kleinen hangen tussen hemel en aarde. ,De machtige lui leven op kosten van de gewone man,,1311
een speldje bij iets steken,"een onderwerp niet verder uitdiepen, van gespreksonderwerp veranderen",,1312
goed bij de tijd zijn,snugger,,1313
hutje bij mutje leggen,ieder draagt bij voor het deel dat die kan,,1314
je kunt niet met twee voeten in één sok,twee onverenigbare zaken kunnen niet worden gecombineerd,,1315
de kleintjes vallen niet groot,wordt gezegd als eerder kleine vruchten verkocht worden,,1316
De kap aan de haag hangen,1: Een beroep beëindigen. 2: Het voor gezien houden,,1317
"wie mooi wil zijn, moet pijn lijden",voor schoonheid moet je wat over hebben,,1318
aan een touw trekken,eensgezind optreden,,1319
met onbevaren volk is het slecht zeilen,met onervaren mensen is het moeilijk werken,,1320
er naar kunnen fluiten,het niet krijgen,,1321
als een furie tekeergaan,in razende woede tekeergaan,,1322
slapende rijk worden,veel geld verdienen zonder er iets voor te moeten doen,,1323
van de sokken gaan/raken/vallen.,bewusteloos vallen.,,1324
"als het schip lek is, gaan de ratten van boord. .","als het verkeerd loopt, laten valse vrienden je in de steek",,1325
nog te bezien staan,nog af te wachten zijn,,1326
het al te bont maken,het erg maken,,1327
het botert niet tussen hen,ze kunnen niet zo goed met elkaar overweg => geïrriteerd,,1328
zijn anker kappen/lichten,er met spoed vandoor gaan,,1329
troeven achter de hand houden.,"iets voordeligs achterhouden, informatie achterhouden.",,1330
leiden in last zijn,een echt probleem zijn,,1331
de wolf ruit wel van baard maar niet van aard,het karakter van de mensen verandert nooit,,1332
er een plasje overheen doen.,"ergens een kleine wijziging in aan (laten) brengen, die wel duidelijk laat zien dat de afzender iemand van belang is.",,1333
dat heb ik nog nooit op een klomp horen spelen.,dat is al te gek.,,1334
onder de mensen komen,"buitengaan , mensen ontmoeten",,1335
zuinig kijken,teleurgesteld of verdrietig kijken,,1336
vogeltjes die zo vroeg zingen zijn voor de poes,wie zo vroeg wil genieten komt bedrogen uit,,1337
Het zit in de pijplijn,er wordt aan gewerkt,,1338
lopen alsof men een lantaarnpaal heeft ingeslikt,"erg stijf, houterig lopen",,1339
op iedere slak zout leggen,overal opmerkingen op maken,,1340
zich de lenden omgorden,zich gereedmaken,,1341
tussen twee stoelen in de as zitten,er bekaaid vanaf komen,,1342
een steen van het hart zijn,een grote opluchting zijn,,1343
voor de kat zijn viool iets hebben gedaan,een zinloze inspanning hebben geleverd,,1344
zijn naam eer aandoen,"naar behoren uitvoeren, precies doen wat men verwacht",,1345
zo Hollands als haring met uitjes,typisch Hollands,,1346
een lelijke noot met iemand te kraken hebben,met iemand nog iets af te rekenen hebben,,1347
zo arm als de mieren,straatarm,,1348
zijn handen jeuken,er erg veel zin in hebben te beginnen,,1349
uit de lijken geslagen,totaal van zijn stuk gebracht,,1350
"de soep wordt nooit zo heet gegeten, als zij wordt opgediend",er worden meestal minder zware maatregelen toegepast dan was aangekondigd,,1351
nieuwsgierig aagje,een nieuwsgierig persoon,,1352
die het lang heeft laat het lang hangen,"wie veel geld heeft, kan ook veel geld uitgeven",,1353
dat is iemand met een gebruiksaanwijzing,dat is iemand waarvan je weet hoe je met diegene om moet gaan,,1354
huizenhoog springen,erg gelukkig zijn,,1355
iemand spreken door het oor van een turfmand,"iemand heimelijk spreken, zodat niemand anders het hoort",,1356
buurmans leed troost,door het verdriet of de pijn van een ander kun je je eigen verdriet en pijn beter verdragen,,1357
van meet af aan,vanaf het begin,,1358
de daad bij het woord voegen,onmiddellijk doen wat men zegt te zullen doen,,1359
zich het apezuur zoeken,eindeloos zoeken,,1360
de handen thuis houden,niet aanraken,,1361
een handwerk heeft een gouden bodem,een goed vakman verdient altijd zijn brood,,1362
hij heeft zijn lesje wel geleerd,die fout maakt hij niet weer,,1363
iemand de manchetten aandoen,de handboeien aandoen,,1364
klare wijn schenken,eerlijk en duidelijk vertellen hoe de situatie in elkaar steekt,,1365
de kap op de tuin werpen,zijn priester- of kloostergelofte verbreken,,1366
ergens werk van maken,ergens mee aan de gang gaan,,1367
een harde nek hebben,erg onbuigzaam zijn,,1368
de kont tegen de krib gooien,weerspannig zijn,,1369
uit z'n rol vallen,tijdens het spelen iets zeggen of doen wat niet bij de rol hoort.,,1370
de gestage drup holt de steen (uit).,door het vol te houden wordt uitwindelijk wel het doel bereikt,,1371
naar iets vissen,iets trachten te achterhalen,,1372
"wie niet waagt, wie niet wint","wie geen risico neemt, die wint niets",,1373
een wolf in schaapskleren,een gevaarlijk iemand die zich als onschadelijk voordoet,,1374
zo vraagt men de boeren de kunst af,zo verneem je hoe het moet,,1375
iemand op de kast jagen.,iemand zijn goede humeur doen verliezen door plagen.,,1376
zich met hand en tand verzetten,zich  heftig verzetten en er alles aan doen om het niet te laten doorgaan,,1377
als de vis goedkoop is stinkt ze,de herkomst ergens van is niet te vertrouwen,,1378
je kan niet de kool en de geit sparen,je moet keuzes maken,,1379
willen vliegen eer men vleugels heeft,iets willen doen nog voor men het geleerd heeft,,1380
in het oog hebben,binnen het gezichtsveld zijn,,1381
een dronkemansgebed doen,het geld natellen (als het zo goed als op is),,1382
uit de nesten helpen,uit de problemen helpen,,1383
als warme broodjes over de toonbank gaan,zeer goed verkopen,,1384
op de wipstoel zitten,elk ogenblik ontslagen kunnen worden,,1385
een speld in de hooiberg zoeken,iets onmogelijks proberen,,1386
alle mensen moeten leven,gun de anderen ook wat,,1387
poppetje gezien kastje dicht,"we laten het even zien, maar daarna is het voorbij",,1388
oog om oog en tand om tand,"wraak nemen voor onrecht dat je is aangedaan, door de dader precies hetzelfde aan te doen",,1389
waar een wil is is een weg,"als je iets echt wilt, dan zul je ook slagen /de weg vinden naar je doel",,1390
alles op haren en snaren zetten,alle middelen aanwenden / alles in het werk stellen,,1391
Men moet de schapen scheren al naar ze wol hebben,Niet tegen elke prijs voordeel willen nastreven,,1392
iemand op de vingers kijken,"steeds kijken wat iemand doet, en of die het goed doet",,1393
van wal steken,"beginnen met spreken, beginnen met een verhaal",,1394
het is niet al goud wat blinkt,schijn bedriegt,,1395
onder het juk zuchten,onderworpen zijn,,1396
te gronde gaan,"verdwijnen, niet verder kunnen bestaan",,1397
iets aan het handje hebben,een beetje verkering hebben,,1398
aan de slag gaan,"beginnen te werken, starten",,1399
het vaatje op zijn kant zetten,het vat leegmaken (uitdrinken),,1400
iemand de pap in de mond geven,iemand een gemakkelijke oplossing zomaar aanbieden,,1401
apen en beren op de weg zien,bezwaren zien,,1402
"Wiens brood men eet, diens woord men spreekt.",Men pacteert met hen van wie men afhankelijk is.,,1403
op grote voet leven,veel geld uitgeven,,1404
de bodem inslaan,vernietigen (bv.: de hoop de bodem inslaan),,1405
in het land der blinden is eenoog koning,tussen dommeriken volstaat een klein beetje verstand om baas te zijn,,1406
een geloof dat bergen kan verzetten,een sterk geloof,,1407
een gladde vogel,iemand die zich overal weet uit te redden op slinkse wijze,,1408
het hoogste woord hebben,baas zijn (of willen zijn),,1409
ad interim,tijdelijk - tussentijds,,1410
een knuppel in het honderd gooien,kritiek geven zonder namen te noemen,,1411
in zijn sop gaar laten koken,zijn kritiek en protesten negeren,,1412
een heilige koe,"iets waar je niet aan mag komen en zuinig op bent, voor sommige mensen is dat bijv. een auto",,1413
van hetzelfde laken een pak,dezelfde soort aanpak of respons,,1414
jan boezeroen,de arbeiders,,1415
iemand of iets over het hoofd zien,"iemand niet opmerken, vergeten met iemand of iets rekening te houden, iets niet zien",,1416
iemand in het zeer tasten,bij iemand de gevoelige plek raken,,1417
hij zei boe noch ba,hij zei niets,,1418
zijn rechterhand,"zijn assistent, die hem bij alles ondersteunt",,1419
geen strobreed wijken,niets toegeven of niet van mening veranderen,,1420
de lampt hangt scheef.,het geld is op,,1421
van naald tot draad,tot in het kleinste detail,,1422
er niet van tussen kunnen,er aan vastzitten,,1423
de druiven zijn zuur (zei de vos maar hij kon er niet bij),"van iets dat men niet krijgen kan, zeggen dat men het niet wil",,1424
er warmpjes bijzitten,over ruime financiële middelen beschikken,,1425
in alle staten,helemaal over zijn toeren,,1426
daar kan je gif op innemen,je mag er zeker van zijn dat het gaat gebeuren,,1427
de vermoorde onschuld spelen,net doen alsof je van niets weet,,1428
goed voorgaan doet goed volgen.,"als je zelf op de goede manier handelt, nemen anderen dat vanzelf over",,1429
het doel heiligt de middelen,"alle middelen zijn toegelaten, zolang het doel maar bereikt wordt",,1430
een leeuwehuid aantrekken,zich dapper tonen,,1431
mijn hoofd staat er niet naar,ik kan me er niet op concentreren,,1432
het loopt in't honderd,het gaat helemaal mis,,1433
naar de haaien gaan,"verloren gaan (zinken, schip)",,1434
er bekaaid van afkomen.,weinig krijgen in vergelijking met anderen.,,1435
hij heeft een vinger in de pap.,hij heeft invloed.,,1436
het is bij de (wilde) beesten af.,het is verschrikkelijk; het is schandalig.,,1437
een poets bakken,erin laten lopen - voor de gek houden,,1438
"meisjes die bloemen vragen, mag je kussen zonder te vragen.",een aanmoediging om meisjes met bloemen te kussen,,1439
zich schrap zetten,klaarmaken om de klap op te vangen,,1440
niets te verletten hebben,de tijd hebben,,1441
komen als een dief in de nacht,onverwacht komen,,1442
je kop houden,"stil zijn, niet praten",,1443
met een baksteen in de maag geboren worden,"graag een huis willen hebben dat van jezelf is, dat je eigendom is",,1444
iemand in de ogen schijnen,iemand hinderen,,1445
van zijn mast een schoenpin maken,iets goeds bederven om iets van weinig waarde te bekomen,,1446
Tegen de maan pissen,Iets onmogelijks proberen,,1447
op zijn zenuwen leven,bijna overspannen geraken,,1448
men moet straten voor stegen kennen,men moet weten tot wie men zich wendt,,1449
met zijn pink manoeuvreren,iets als de beste kunnen,,1450
die wind zaait zal storm oogsten,"wie kwaad doet, zal er uiteindelijk zelf de gevolgen van dragen",,1451
niet op mijn weg liggen,ergens niets mee te maken hebben of niet mee willen bemoeien,,1452
de jure et de facto,volgens het recht en de feiten,,1453
in adamskostuum,"naakt, zonder kleren",,1454
weer boven water komen,weer tevoorschijn komen,,1455
vaste grond onder de voeten hebben,weten waar men op steunt - in een goede positie verkeren,,1456
iemand koeien met gouden horens beloven,iets moois beloven maar niet nakomen,,1457
hij praat visserslatijn,hij blaast zijn prestaties op,,1458
het habijt aannemen,in het klooster gaan,,1459
met de kop tegen de muur lopen,nutteloos geweld gebruiken,,1460
in de kleinste potjes zit de beste pommade/zalf,gezegd van uitzonderlijk kleine personen,,1461
tegen windmolens vechten,tegen irreëele gevaren/zaken vechten,,1462
over lijken gaan.,doordouwen zonder oog voor ethiek of moraal.,,1463
kort en bondig vertellen,"iets kort, maar duidelijk vertellen",,1464
in nood leert men zijn vrienden kennen.,wanneer men in de problemen zit wordt duidelijk welke vrienden daadwerkelijk iets voor je willen betekenen.,,1465
"als het water zakt, kraakt het ijs",elke oorzaak heeft gevolgen,,1466
roepen in de woestijn,niet gehoord worden,,1467
iemand op z'n hand hebben,iemand hebben die hem steunt,,1468
er was geen hond/kat/kip,er was niemand,,1469
De kraan dichtdraaien,de (financiële) hulp sterk verminderen of stopzetten,,1470
een laag profiel houden,zich niet laten opmerken,,1471
aan de bel trekken,duidelijk maken dat er iets aan de hand is; duidelijk maken dat er iets niet klopt,,1472
als een warm mes door de boter,als iets erg makkelijk of geleidelijk gaat,,1473
ergens op hameren,iets voortdurend benadrukken,,1474
er gaan veel makke schapen in een hok,met inschikkelijke mensen is meer mogelijk,,1475
hij zet er de lakense bril bij op,hij kijkt bijzonder scherp toe,,1476
iemand in het zadel helpen,iemand aan een (goede) functie/positie helpen,,1477
er is altijd wel ergens een vogel die zingt,er is altijd wel een lichtpuntje als je maar goed je oren en ogen open zet,,1478
haarscherp,(van een afbeelding) getrouw tot in fijne details,,1479
iemand een hart onder de gordel/riem steken,iemand moed inspreken,,1480
hebben is hebben maar krijgen is de kunst,"iets hebben is goed, maar iets bijkrijgen is beter",,1481
Boontjes uit water eten.,Een eenvoudige maaltijd.,,1482
waar meerderman komt moet minderman wijken,"als een machtig persoon iets zegt, moet de minder machtige zwijgen",,1483
zijn voelhorens uitsteken,trachten te achterhalen,,1484
binnen mikken zijn,geborgen zijn,,1485
iets tegen de penning zestien verkopen,iets zeer duur verkopen,,1486
De kat de bel aanbinden,Iets al te publiekelijk ondernemen,,1487
iets mannetje voor mannetje doen,iets strikt volgens plan uitvoeren,,1488
dat heb ik nog nooit op een klomp horen spelen,dat is al te gek,,1489
ergens oren naar hebben,er wel iets in zien,,1490
waar twee kijven hebben twee schuld,beide personen hebben schuld als ze ruzie met elkaar maken,,1491
er is geen huis met hem te houden,"hij is niet tevreden te stellen, je kan er geen land mee bezeilen",,1492
"een grote lantaarn, een klein licht","veel praat, maar weinig verstand",,1493
Aan een oud dak moet je veel herstellen,Verouderde zaken vergen nu eenmaal onderhoud,,1494
een ongeletterde boer,weinig geleerd persoon,,1495
op een klein pitje zetten,"tijdelijk laten wachten, slechts langzaam laten verdergaan",,1496
waar rook is is vuur,"waar geruchten over wangedrag zijn, zal er ook wel iets mis zijn",,1497
summa summarum,uiteindelijk - tenslotte,,1498
iemand een worst voorhouden,"iemand een voordeeltje in het vooruitzicht stellen, teneinde hem te bewegen ergens mee akkoord te gaan",,1499
tussen beurs en geweten geplaatst zijn,een financieel goede - maar misdadige - zaak kunnen doen,,1500
